sex,raceth5,age_band,yeardec,n_alive_w,n_dead_w,n_alive_unw,n_dead_unw,mean_nk_alive,mean_nk_dead,kappa,kappa_smooth,kappa_pool
f,4,50-59,2,309469.0,51454.0,37,8,0.19179627038572522,0.43289151475103976,2.2570382306206644,1.0,
f,4,50-59,3,5706634.0,415575.0,640,50,0.2792828486985498,0.1311171268724057,0.46947790558356095,0.46947790558356095,0.8605078992701207
f,4,50-59,4,9496879.0,156421.0,1108,32,0.24555140694116456,0.09965413851081377,0.40583818986095826,0.40583818986095826,0.8168096137253371
f,4,60-69,2,114305.0,67887.0,17,9,0.0,0.1937631652599172,,1.0,
f,4,60-69,3,3014167.0,453342.0,381,77,0.18037487637546293,0.10644943552549731,0.5901566651883123,0.5901566651883123,0.8605078992701207
f,4,60-69,4,7525916.0,289018.0,1032,44,0.15021892351708416,0.16319744790981877,1.0863973998006888,1.0863973998006888,0.8168096137253371
f,4,70-100,2,94623.0,121161.0,13,22,0.4330342517146994,0.311436848490851,0.7191968008480731,1.0,
f,4,70-100,3,1867894.0,1586603.0,308,269,0.21825863780278754,0.15698697153604274,0.7192703716857787,0.7192703716857787,0.8605078992701207
f,4,70-100,4,5146137.0,984214.0,980,218,0.10990807279324277,0.09679195784656588,0.8806628611225792,0.8806628611225792,0.8168096137253371
f,5,18-29,2,37622420.0,972380.0,5367,151,0.7826120701432816,0.9733416976902034,1.2437090288065744,1.2437090288065744,0.7115908050590557
f,5,18-29,3,2831338.0,32218.0,315,5,0.8897079755225268,0.7310509652989012,0.8216751849049728,1.0,
f,5,18-29,4,3724260.0,35347.0,493,3,0.7689369163270019,1.5139332899538858,1.9688654007997493,1.1944166588781067,1.1944166588781067
f,5,30-39,2,36686789.0,1972456.0,6124,354,1.4809453343000392,1.3168587791058457,0.8892014773308644,0.8892014773308644,0.7115908050590557
f,5,30-39,3,2012792.0,173502.0,266,21,1.9349028612991308,1.7147468040714229,0.8862185479017324,1.0,
f,5,30-39,4,2218440.0,17892.0,391,3,1.415090784515245,0.9345517549742902,0.6604182326679707,1.1944166588781067,1.1944166588781067
f,5,40-49,2,33102525.0,4182546.0,5229,729,0.9160630797801679,0.5539367648317556,0.6046928176219988,0.6046928176219988,0.7115908050590557
f,5,40-49,3,1732071.0,161843.0,225,31,0.9281640302273984,0.5451023522796784,0.587290968543706,0.587290968543706,
f,5,40-49,4,2169867.0,31140.0,329,5,0.8897430118988859,0.6946371226718048,0.7807165815096575,1.1944166588781067,1.1944166588781067
f,5,50-59,2,19918723.0,6337371.0,3217,1110,0.14669248626028888,0.11792019119600225,0.8038597899742901,0.8038597899742901,0.7115908050590557
f,5,50-59,3,1426511.0,215755.0,171,37,0.2971782201469179,0.604342888924938,2.0336042413409876,2.0336042413409876,
f,5,50-59,4,2178038.0,151148.0,361,21,0.16972385238457732,0.032352396326779054,0.19061785289596037,1.1944166588781067,1.1944166588781067
f,5,60-69,2,9000089.0,10232240.0,1575,1952,0.02459420123512112,0.02796220573403282,1.1369430324942658,1.1369430324942658,0.7115908050590557
f,5,60-69,3,482394.0,253636.0,68,36,0.0,0.23154441798482867,,1.0,
f,5,60-69,4,1202341.0,93087.0,242,23,0.15259481295239868,0.007691729242536552,0.0504062300265472,1.1944166588781067,1.1944166588781067
f,5,70-100,2,2642385.0,23143371.0,562,4953,0.04457526060736797,0.02140016681234553,0.48009067183800685,0.48009067183800685,0.7115908050590557
f,5,70-100,3,286859.0,405637.0,45,69,0.053217782952600406,0.07132978500481958,1.3403374031637325,1.3403374031637325,
f,5,70-100,4,843278.0,266380.0,182,60,0.057987994469202324,0.12439747728808469,2.145228136043793,2.145228136043793,1.1944166588781067
m,1,18-29,2,9820540.0,339114.0,1792,67,0.8120817185205702,1.112944319609335,1.3704831597943967,1.3704831597943967,0.9741805559043182
m,1,18-29,3,43229936.0,803786.0,5958,112,0.8002752305717038,0.7666804348421097,0.9580209477362001,0.9580209477362001,0.7665901969231108
m,1,18-29,4,49380144.0,366636.0,4869,49,0.6903716805686108,0.7005858671816189,1.0147951993114714,1.0147951993114714,0.6667754971089875
m,1,30-39,2,7576497.0,446502.0,1614,103,1.4779828989571302,1.4122825877599652,0.9555473130010345,0.9555473130010345,0.9741805559043182
m,1,30-39,3,34919691.0,1230677.0,5348,209,1.4533717380259752,1.351361892681833,0.9298115941880802,0.9298115941880802,0.7665901969231108
m,1,30-39,4,38764310.0,312636.0,4493,47,1.3961866727409826,1.6041978530943333,1.1489852212562557,1.1489852212562557,0.6667754971089875
m,1,40-49,2,4860994.0,720077.0,1027,170,1.2550649105923604,0.9558824958997441,0.761619967088866,0.761619967088866,0.9741805559043182
m,1,40-49,3,24037251.0,1799212.0,3713,319,1.1835010168176052,1.0661861970684945,0.9008747621826584,0.9008747621826584,0.7665901969231108
m,1,40-49,4,31945306.0,511562.0,3873,83,1.2005737243524917,0.7879729143290549,0.6563303013765641,0.6563303013765641,0.6667754971089875
m,1,50-59,2,2407076.0,672502.0,510,174,0.5698960066071865,0.420846332055518,0.7384616266412894,0.7384616266412894,0.9741805559043182
m,1,50-59,3,13365346.0,2194963.0,2061,412,0.48985772609253814,0.35805387152311907,0.7309344171811221,0.7309344171811221,0.7665901969231108
