birth_week,death_year,deaths_total,birth_year,group,study,age,week_in_year,treated,rate,log_rate,study_name
15-21 March 1969,1970,33.0,1969,3,BCS70 1970,1,2,0,2.04359673024523,0.714711358475786,BCS70
22-28 March 1969,1970,28.0,1969,3,BCS70 1970,1,3,0,1.73396086202626,0.55040830718451,BCS70
29-4 March/April 1969,1970,23.0,1969,3,BCS70 1970,1,4,0,1.42432499380728,0.353698012938455,BCS70
5-11 April 1969,1970,22.0,1969,3,BCS70 1970,1,5,0,1.36239782016349,0.309246250367621,BCS70
12-18 April 1969,1970,23.0,1969,3,BCS70 1970,1,6,0,1.42432499380728,0.353698012938455,BCS70
19-25 April 1969,1970,21.0,1969,3,BCS70 1970,1,7,0,1.30047064651969,0.262726234732729,BCS70
26-2 April/May 1969,1970,41.0,1969,3,BCS70 1970,1,8,0,2.53901411939559,0.931775863713613,BCS70
3-9 May 1969,1970,27.0,1969,3,BCS70 1970,1,9,0,1.67203368838246,0.514040663013635,BCS70
8-14 March 1970,1970,266.0,1970,3,BCS70 1970,0,1,0,0.0,-inf,BCS70
15-21 March 1970,1970,279.0,1970,3,BCS70 1970,0,2,0,0.0,-inf,BCS70
22-28 March 1970,1970,292.0,1970,3,BCS70 1970,0,3,0,0.0,-inf,BCS70
29-4 March/April 1970,1970,203.0,1970,3,BCS70 1970,0,4,0,0.0,-inf,BCS70
5-11 April 1970,1970,254.0,1970,3,BCS70 1970,0,5,1,0.0,-inf,BCS70
12-18 April 1970,1970,261.0,1970,3,BCS70 1970,0,6,0,0.0,-inf,BCS70
19-25 April 1970,1970,249.0,1970,3,BCS70 1970,0,7,0,0.0,-inf,BCS70
26-2 April/May 1970,1970,254.0,1970,3,BCS70 1970,0,8,0,0.0,-inf,BCS70
3-9 May 1970,1970,253.0,1970,3,BCS70 1970,0,9,0,0.0,-inf,BCS70
3-9 February 1944,1971,11.0,1944,1,NSHD 1946,27,1,0,0.752278206158423,-0.284649068450871,NSHD
10-16 February 1944,1971,7.0,1944,1,NSHD 1946,27,2,0,0.478722494828087,-0.736634192193928,NSHD
17-23 February 1944,1971,8.0,1944,1,NSHD 1946,27,3,0,0.547111422660671,-0.603102799569406,NSHD
24-1 Feb/March 1944,1971,15.0,1944,1,NSHD 1946,27,4,0,1.02583391748876,0.0255058598529684,NSHD
3-9 March 1944,1971,11.0,1944,1,NSHD 1946,27,5,0,0.752278206158423,-0.284649068450871,NSHD
10-16 March 1944,1971,7.0,1944,1,NSHD 1946,27,6,0,0.478722494828087,-0.736634192193928,NSHD
17-23 March 1944,1971,12.0,1944,1,NSHD 1946,27,7,0,0.820667133991007,-0.197637691461241,NSHD
24-30 March 1944,1971,9.0,1944,1,NSHD 1946,27,8,0,0.615500350493255,-0.485319763913022,NSHD
31-6 March/April 1944,1971,15.0,1944,1,NSHD 1946,27,9,0,1.02583391748876,0.0255058598529684,NSHD
3-9 February 1945,1971,8.0,1945,1,NSHD 1946,26,1,0,0.582453585729887,-0.540505777867401,NSHD
10-16 February 1945,1971,3.0,1945,1,NSHD 1946,26,2,0,0.218420094648708,-1.52133503087913,NSHD
17-23 February 1945,1971,11.0,1945,1,NSHD 1946,26,3,0,0.800873680378595,-0.222052046748867,NSHD
24-2 Feb/March 1945,1971,8.0,1945,1,NSHD 1946,26,4,0,0.582453585729887,-0.540505777867401,NSHD
3-9 March 1945,1971,10.0,1945,1,NSHD 1946,26,5,0,0.728066982162359,-0.317362226553191,NSHD
10-16 March 1945,1971,8.0,1945,1,NSHD 1946,26,6,0,0.582453585729887,-0.540505777867401,NSHD
17-23 March 1945,1971,10.0,1945,1,NSHD 1946,26,7,0,0.728066982162359,-0.317362226553191,NSHD
24-30 March 1945,1971,10.0,1945,1,NSHD 1946,26,8,0,0.728066982162359,-0.317362226553191,NSHD
31-6 March/April 1945,1971,7.0,1945,1,NSHD 1946,26,9,0,0.509646887513651,-0.674037170491924,NSHD
3-9 February 1946,1971,7.0,1946,1,NSHD 1946,25,1,0,0.499375780274657,-0.694396399960377,NSHD
10-16 February 1946,1971,7.0,1946,1,NSHD 1946,25,2,0,0.499375780274657,-0.694396399960377,NSHD
17-23 February 1946,1971,13.0,1946,1,NSHD 1946,25,3,0,0.92741216336722,-0.0753571915541538,NSHD
24-2 Feb/March 1946,1971,10.0,1946,1,NSHD 1946,25,4,0,0.713393971820938,-0.337721456021645,NSHD
3-9 March 1946,1971,12.0,1946,1,NSHD 1946,25,5,1,0.856072766185126,-0.15539989922769,NSHD
10-16 March 1946,1971,9.0,1946,1,NSHD 1946,25,6,0,0.642054574638844,-0.443081971679471,NSHD
17-23 March 1946,1971,11.0,1946,1,NSHD 1946,25,7,0,0.784733369003032,-0.24241127621732,NSHD
24-30 March 1946,1971,9.0,1946,1,NSHD 1946,25,8,0,0.642054574638844,-0.443081971679471,NSHD
31-6 March/April 1946,1971,16.0,1946,1,NSHD 1946,25,9,0,1.1414303549135,0.132282173224091,NSHD
3-9 February 1947,1971,5.0,1947,1,NSHD 1946,24,1,0,0.27139619773927,-1.30417554148323,NSHD
10-16 February 1947,1971,13.0,1947,1,NSHD 1946,24,2,0,0.705630114122101,-0.348664096455793,NSHD
17-23 February 1947,1971,9.0,1947,1,NSHD 1946,24,3,0,0.488513155930685,-0.71638887658111,NSHD
24-2 Feb/March 1947,1971,6.0,1947,1,NSHD 1946,24,4,0,0.325675437287124,-1.12185398468927,NSHD
3-9 March 1947,1971,10.0,1947,1,NSHD 1946,24,5,0,0.542792395478539,-0.611028360923284,NSHD
10-16 March 1947,1971,11.0,1947,1,NSHD 1946,24,6,0,0.597071635026393,-0.515718181118959,NSHD
17-23 March 1947,1971,16.0,1947,1,NSHD 1946,24,7,0,0.868467832765663,-0.141024731677548,NSHD
24-30 March 1947,1971,10.0,1947,1,NSHD 1946,24,8,0,0.542792395478539,-0.611028360923284,NSHD
31-6 March/April 1947,1971,6.0,1947,1,NSHD 1946,24,9,0,0.325675437287124,-1.12185398468927,NSHD
3-9 February 1948,1971,12.0,1948,1,NSHD 1946,23,1,0,0.741083835108847,-0.299641522286935,NSHD
10-16 February 1948,1971,10.0,1948,1,NSHD 1946,23,2,0,0.617569862590706,-0.481963079080889,NSHD
17-23 February 1948,1971,10.0,1948,1,NSHD 1946,23,3,0,0.617569862590706,-0.481963079080889,NSHD
24-1 Feb/March 1948,1971,9.0,1948,1,NSHD 1946,23,4,0,0.555812876331635,-0.587323594738716,NSHD
3-9 March 1948,1971,11.0,1948,1,NSHD 1946,23,5,0,0.679326848849776,-0.386652899276565,NSHD
10-16 March 1948,1971,9.0,1948,1,NSHD 1946,23,6,0,0.555812876331635,-0.587323594738716,NSHD
17-23 March 1948,1971,9.0,1948,1,NSHD 1946,23,7,0,0.555812876331635,-0.587323594738716,NSHD
24-30 March 1948,1971,12.0,1948,1,NSHD 1946,23,8,0,0.741083835108847,-0.299641522286935,NSHD
31-6 March/April 1948,1971,8.0,1948,1,NSHD 1946,23,9,0,0.494055890072564,-0.705106630395099,NSHD
3-9 February 1956,1971,2.0,1956,2,NCDS 1958,15,1,0,0.142146410803127,-1.95089769056635,NCDS
10-16 February 1956,1971,5.0,1956,2,NCDS 1958,15,2,0,0.355366027007818,-1.0346069586922,NCDS
17-23 February 1956,1971,5.0,1956,2,NCDS 1958,15,3,0,0.355366027007818,-1.0346069586922,NCDS
24-1 Feb/March 1956,1971,5.0,1956,2,NCDS 1958,15,4,0,0.355366027007818,-1.0346069586922,NCDS
3-9 March 1956,1971,9.0,1956,2,NCDS 1958,15,5,0,0.639658848614073,-0.446820293790078,NCDS
10-16 March 1956,1971,3.0,1956,2,NCDS 1958,15,6,0,0.213219616204691,-1.54543258245819,NCDS
17-23 March 1956,1971,5.0,1956,2,NCDS 1958,15,7,0,0.355366027007818,-1.0346069586922,NCDS
24-30 March 1956,1971,5.0,1956,2,NCDS 1958,15,8,0,0.355366027007818,-1.0346069586922,NCDS
31-6 March/April 1956,1971,12.0,1956,2,NCDS 1958,15,9,0,0.852878464818763,-0.159138221338297,NCDS
3-9 February 1957,1971,10.0,1957,2,NCDS 1958,14,1,0,0.699753336948726,-0.357027381825204,NCDS
10-16 February 1957,1971,4.0,1957,2,NCDS 1958,14,2,0,0.27990133477949,-1.27331811369936,NCDS
17-23 February 1957,1971,7.0,1957,2,NCDS 1958,14,3,0,0.489827335864108,-0.713702325763936,NCDS
24-2 Feb/March 1957,1971,4.0,1957,2,NCDS 1958,14,4,0,0.27990133477949,-1.27331811369936,NCDS
3-9 March 1957,1971,6.0,1957,2,NCDS 1958,14,5,0,0.419852002169235,-0.867853005591194,NCDS
10-16 March 1957,1971,2.0,1957,2,NCDS 1958,14,6,0,0.139950667389745,-1.9664652942593,NCDS
17-23 March 1957,1971,4.0,1957,2,NCDS 1958,14,7,0,0.27990133477949,-1.27331811369936,NCDS
24-30 March 1957,1971,3.0,1957,2,NCDS 1958,14,8,0,0.209926001084618,-1.56100018615114,NCDS
31-6 March/April 1957,1971,4.0,1957,2,NCDS 1958,14,9,0,0.27990133477949,-1.27331811369936,NCDS
3-9 February 1958,1971,8.0,1958,2,NCDS 1958,13,1,0,0.546765540101835,-0.603735197146351,NCDS
10-16 February 1958,1971,8.0,1958,2,NCDS 1958,13,2,0,0.546765540101835,-0.603735197146351,NCDS
17-23 February 1958,1971,4.0,1958,2,NCDS 1958,13,3,0,0.273382770050918,-1.2968823777063,NCDS
24-2 Feb/March 1958,1971,3.0,1958,2,NCDS 1958,13,4,0,0.205037077538188,-1.58456445015808,NCDS
3-9 March 1958,1971,4.0,1958,2,NCDS 1958,13,5,1,0.273382770050918,-1.2968823777063,NCDS
10-16 March 1958,1971,6.0,1958,2,NCDS 1958,13,6,0,0.410074155076376,-0.891417269598132,NCDS
17-23 March 1958,1971,5.0,1958,2,NCDS 1958,13,7,0,0.341728462563647,-1.07373882639209,NCDS
24-30 March 1958,1971,5.0,1958,2,NCDS 1958,13,8,0,0.341728462563647,-1.07373882639209,NCDS
31-6 March/April 1958,1971,2.0,1958,2,NCDS 1958,13,9,0,0.136691385025459,-1.99002955826624,NCDS
3-9 February 1959,1971,4.0,1959,2,NCDS 1958,12,1,0,0.264896276551713,-1.32841693885532,NCDS
10-16 February 1959,1971,4.0,1959,2,NCDS 1958,12,2,0,0.264896276551713,-1.32841693885532,NCDS
17-23 February 1959,1971,1.0,1959,2,NCDS 1958,12,3,0,0.0662240691379282,-2.71471129997522,NCDS
24-2 Feb/March 1959,1971,10.0,1959,2,NCDS 1958,12,4,0,0.662240691379282,-0.41212620698117,NCDS
3-9 March 1959,1971,1.0,1959,2,NCDS 1958,12,5,0,0.0662240691379282,-2.71471129997522,NCDS
10-16 March 1959,1971,2.0,1959,2,NCDS 1958,12,6,0,0.132448138275856,-2.02156411941527,NCDS
17-23 March 1959,1971,8.0,1959,2,NCDS 1958,12,7,0,0.529792553103425,-0.63526975829538,NCDS
24-30 March 1959,1971,3.0,1959,2,NCDS 1958,12,8,0,0.198672207413785,-1.61609901130711,NCDS
31-6 March/April 1959,1971,0.0,1959,2,NCDS 1958,12,9,0,0.0,-inf,NCDS
3-9 February 1960,1971,6.0,1960,2,NCDS 1958,11,1,0,0.372879249269778,-0.986500640248958,NCDS
10-16 February 1960,1971,9.0,1960,2,NCDS 1958,11,2,0,0.559318873904667,-0.581035532140794,NCDS
17-23 February 1960,1971,4.0,1960,2,NCDS 1958,11,3,0,0.248586166179852,-1.39196574835712,NCDS
24-1 Feb/March 1960,1971,5.0,1960,2,NCDS 1958,11,4,0,0.310732707724815,-1.16882219704291,NCDS
3-9 March 1960,1971,7.0,1960,2,NCDS 1958,11,5,0,0.435025790814741,-0.8323499604217,NCDS
10-16 March 1960,1971,6.0,1960,2,NCDS 1958,11,6,0,0.372879249269778,-0.986500640248958,NCDS
17-23 March 1960,1971,9.0,1960,2,NCDS 1958,11,7,0,0.559318873904667,-0.581035532140794,NCDS
24-30 March 1960,1971,4.0,1960,2,NCDS 1958,11,8,0,0.248586166179852,-1.39196574835712,NCDS
31-6 March/April 1960,1971,4.0,1960,2,NCDS 1958,11,9,0,0.248586166179852,-1.39196574835712,NCDS
8-14 March 1968,1971,9.0,1968,3,BCS70 1970,3,1,0,0.538672173093325,-0.618648106294737,BCS70
15-21 March 1968,1971,10.0,1968,3,BCS70 1970,3,2,0,0.598524636770361,-0.51328759063691,BCS70
22-28 March 1968,1971,10.0,1968,3,BCS70 1970,3,3,0,0.598524636770361,-0.51328759063691,BCS70
29-4 March/April 1968,1971,6.0,1968,3,BCS70 1970,3,4,0,0.359114782062217,-1.0241132144029,BCS70
5-11 April 1968,1971,12.0,1968,3,BCS70 1970,3,5,0,0.718229564124433,-0.330966033842956,BCS70
12-18 April 1968,1971,5.0,1968,3,BCS70 1970,3,6,0,0.299262318385181,-1.20643477119686,BCS70
19-25 April 1968,1971,12.0,1968,3,BCS70 1970,3,7,0,0.718229564124433,-0.330966033842956,BCS70
26-2 April/May 1968,1971,10.0,1968,3,BCS70 1970,3,8,0,0.598524636770361,-0.51328759063691,BCS70
3-9 May 1968,1971,14.0,1968,3,BCS70 1970,3,9,0,0.837934491478506,-0.176815354015697,BCS70
8-14 March 1969,1971,8.0,1969,3,BCS70 1970,2,1,0,0.495417389150359,-0.702354661310859,BCS70
15-21 March 1969,1971,12.0,1969,3,BCS70 1970,2,2,0,0.743126083725539,-0.296889553202694,BCS70
22-28 March 1969,1971,9.0,1969,3,BCS70 1970,2,3,0,0.557344562794154,-0.584571625654475,BCS70
29-4 March/April 1969,1971,11.0,1969,3,BCS70 1970,2,4,0,0.681198910081744,-0.383900930192324,BCS70
5-11 April 1969,1971,12.0,1969,3,BCS70 1970,2,5,0,0.743126083725539,-0.296889553202694,BCS70
12-18 April 1969,1971,11.0,1969,3,BCS70 1970,2,6,0,0.681198910081744,-0.383900930192324,BCS70
19-25 April 1969,1971,15.0,1969,3,BCS70 1970,2,7,0,0.928907604656923,-0.0737460018884843,BCS70
26-2 April/May 1969,1971,10.0,1969,3,BCS70 1970,2,8,0,0.619271736437949,-0.479211109996649,BCS70
3-9 May 1969,1971,12.0,1969,3,BCS70 1970,2,9,0,0.743126083725539,-0.296889553202694,BCS70
8-14 March 1970,1971,23.0,1970,3,BCS70 1970,1,1,0,1.50799895095725,0.410783573933832,BCS70
15-21 March 1970,1971,26.0,1970,3,BCS70 1970,1,2,0,1.7046944662995,0.533385896026165,BCS70
22-28 March 1970,1971,17.0,1970,3,BCS70 1970,1,3,0,1.11460792027275,0.108502702060899,BCS70
29-4 March/April 1970,1971,14.0,1970,3,BCS70 1970,1,4,0,0.917912404930501,-0.0856533123800586,BCS70
5-11 April 1970,1971,29.0,1970,3,BCS70 1970,1,5,1,1.90138998164175,0.642585187991157,BCS70
12-18 April 1970,1971,21.0,1970,3,BCS70 1970,1,6,0,1.37686860739575,0.319811795728106,BCS70
19-25 April 1970,1971,23.0,1970,3,BCS70 1970,1,7,0,1.50799895095725,0.410783573933832,BCS70
26-2 April/May 1970,1971,28.0,1970,3,BCS70 1970,1,8,0,1.835824809861,0.607493868179887,BCS70
