district_label,tier,year,subject,race,mean_ss,n_tested
Beloit,Tier 1,2008-09,Reading,Hispanic,465.851321279555,719.0
Beloit,Tier 1,2008-09,Reading,White,481.4649339207048,1135.0
Beloit,Tier 1,2009-10,Math,Black,477.96549999999996,600.0
Beloit,Tier 1,2009-10,Math,Hispanic,470.6269767441861,645.0
Beloit,Tier 1,2009-10,Math,White,490.5161682242991,1070.0
Beloit,Tier 1,2009-10,Reading,Black,467.5149750415973,601.0
Beloit,Tier 1,2009-10,Reading,Hispanic,463.9256211180124,644.0
Beloit,Tier 1,2009-10,Reading,White,485.44803738317756,1070.0
Beloit,Tier 1,2010-11,Math,Black,469.03266253869964,646.0
Beloit,Tier 1,2010-11,Math,Hispanic,478.19873896595203,793.0
Beloit,Tier 1,2010-11,Math,White,494.89259597806216,1094.0
Beloit,Tier 1,2010-11,Reading,Black,468.875386996904,646.0
Beloit,Tier 1,2010-11,Reading,Hispanic,472.02143757881464,793.0
Beloit,Tier 1,2010-11,Reading,White,490.69753199268735,1094.0
Beloit,Tier 1,2011-12,Math,Black,463.36419354838705,620.0
Beloit,Tier 1,2011-12,Math,Hispanic,482.200234741784,852.0
Beloit,Tier 1,2011-12,Math,White,494.85408450704233,1065.0
Beloit,Tier 1,2011-12,Reading,Black,457.8488709677419,620.0
Beloit,Tier 1,2011-12,Reading,Hispanic,469.3569753810082,853.0
Beloit,Tier 1,2011-12,Reading,White,485.06413145539904,1065.0
Beloit,Tier 1,2012-13,Math,Black,479.0838951310862,534.0
Beloit,Tier 1,2012-13,Math,Hispanic,481.96204033214707,843.0
Beloit,Tier 1,2012-13,Math,White,494.9107421875,1024.0
Beloit,Tier 1,2012-13,Reading,Black,468.71573033707864,534.0
Beloit,Tier 1,2012-13,Reading,Hispanic,469.9518833535845,823.0
Beloit,Tier 1,2012-13,Reading,White,486.6117302052786,1023.0
Beloit,Tier 1,2013-14,Math,Black,465.3264179104478,670.0
