dataset,metric,value,top_x,year,computed_date
EdShare,top_x_share,1,5,2021,2026-06-25
EdShare,top_x_share,1,10,2021,2026-06-25
EdShare,top_x_share,1,20,2021,2026-06-25
EdShare,hhi,0.4500000000000002,NA,2022,2026-06-25
EdShare,top_x_share,0.3,1,2022,2026-06-25
EdShare,top_x_share,0.3,3,2022,2026-06-25
EdShare,top_x_share,1,5,2022,2026-06-25
EdShare,top_x_share,1,10,2022,2026-06-25
EdShare,top_x_share,1,20,2022,2026-06-25
EdShare,hhi,0.71875,NA,2023,2026-06-25
EdShare,top_x_share,0.375,1,2023,2026-06-25
EdShare,top_x_share,0.375,3,2023,2026-06-25
EdShare,top_x_share,0.375,5,2023,2026-06-25
EdShare,top_x_share,1,10,2023,2026-06-25
EdShare,top_x_share,1,20,2023,2026-06-25
EdShare,hhi,0.3877551020408164,NA,2024,2026-06-25
EdShare,top_x_share,1,1,2024,2026-06-25
EdShare,top_x_share,1,3,2024,2026-06-25
EdShare,top_x_share,1,5,2024,2026-06-25
EdShare,top_x_share,1,10,2024,2026-06-25
EdShare,top_x_share,1,20,2024,2026-06-25
EdShare,hhi,1.4197530864197538,NA,2025,2026-06-25
EdShare,top_x_share,0.5555555555555556,1,2025,2026-06-25
EdShare,top_x_share,0.5555555555555556,3,2025,2026-06-25
EdShare,top_x_share,0.5555555555555556,5,2025,2026-06-25
EdShare,top_x_share,1,10,2025,2026-06-25
EdShare,top_x_share,1,20,2025,2026-06-25
